API Number,Well Name,Well Number,qtrqtr,sec,twp,range,lat,long,Elevation,Facility_type,Facility_status,fluid_type,max_wat_inj_press,max_inj_volume,not_injector_date,Formation_code,Formation,TopPeforation,BottomPerforation,NumberPerforations,PerforationSize,MeasuredDepth,TrueVerticalDepth,MeasuredPlugBackDepth,TrueVerticalPlugBackDepth,TopPerforationSubSea,BottomPerforationSubSea
05-075-40003-00,JORRITSMA                          ,WI-2           ,SESE,12,11N,53W,40.93489,-103.22908,4576,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1442,,00:00.0,JSND  ,J SAND                                            ,5373,7377,14,,5415,0,5398,,-797,-2801
05-081-05712-00,"WILSON, F                          ",21,SWNW,22,12N,100W,40.987435,-108.626591,7125,UIC DISPOSAL,SI,PRODUCED WATER        ,600,,,WSTC  ,WASATCH                                           ,,,,,2350,2350,2316,,,
05-081-05243-00,TRELEAVEN-GOVERNMENT               ,7,NWNE,31,5N,95W,40.34495,-108.10178,,UIC DISPOSAL,SI,PRODUCED WATER        ,200,,00:00.0,MNCS  ,MANCOS                                            ,,,,,11762,11762,2896,,,
05-077-08942-00,MY WAY RANCH                       ,17-2           ,SWNE,17,10S,94W,39.1905,-107.90314,7016,UIC DISPOSAL,PR,PRODUCED WATER        ,790,12156000,,WMFK  ,WILLIAMS FORK                                     ,4250,4388,48,0.34,6745,6351,6690,6296,2766,2628
05-081-06008-00,MAUDLIN GULCH UNIT                 ,12,SWNW,27,4N,95W,40.28772,-108.04491,7396,UIC DISPOSAL,IJ,PRODUCED WATER        ,525,,,MNCS  ,MANCOS                                            ,,,,,6783,0,3595,,,
05-081-06008-00,MAUDLIN GULCH UNIT                 ,12,SWNW,27,4N,95W,40.28772,-108.04491,7396,UIC DISPOSAL,IJ,PRODUCED WATER        ,525,,,MRPS  ,MORAPOS                                           ,,,,,6783,0,3595,,,
05-081-05243-00,TRELEAVEN-GOVERNMENT               ,7,NWNE,31,5N,95W,40.34495,-108.10178,,UIC DISPOSAL,SI,PRODUCED WATER        ,200,,00:00.0,MRPS  ,MORAPOS                                           ,,,,,11762,11762,2896,,,
05-081-05352-00,ALPHA-STATE                        ,16-Jan,SESE,16,7N,93W,40.55249,-107.83225,6324,UIC DISPOSAL,PA,PRODUCED WATER        ,1000,,00:00.0,MVRD  ,MESAVERDE                                         ,3695,3750,,,9829,,8626,,2629,2574
05-081-06014-00,MAUDLIN GULCH UNIT                 ,14-WD          ,SENE,27,4N,95W,40.288058,-108.029422,7816,UIC DISPOSAL,PA,PRODUCED WATER        ,1720,,00:00.0,SNDC  ,SUNDANCE                                          ,,,,,7185,7185,6214,,,
05-081-06033-00,GOVERNMENT                         ,1,SWSW,29,12N,97W,40.964668,-108.322938,6645,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,854,,00:00.0,WSTC  ,WASATCH                                           ,,,,,5220,0,5040,,,
05-077-09042-00,VEGA UNIT                          ,34-13D         ,SENE,33,9S,93W,39.233839,-107.765692,8188,UIC DISPOSAL,IJ,PRODUCED WATER        ,675,14750000,,OHCRK ,OHIO CREEK                                        ,5188,5418,381,0.42,5554,,5429,,3000,2770
05-077-09042-00,VEGA UNIT                          ,34-13D         ,SENE,33,9S,93W,39.233839,-107.765692,8188,UIC DISPOSAL,IJ,PRODUCED WATER        ,1219,34134686,,WSTC  ,WASATCH                                           ,4334,4744,219,0.42,5554,,5429,,3854,3444
05-077-08815-00,MCDANIEL                           ,16-Nov,NWSE,11,9S,94W,39.28929,-107.84666,7402,UIC DISPOSAL,SI,PRODUCED WATER        ,428,7600000,,WMFK  ,WILLIAMS FORK                                     ,6498,7152,36,,8554,8269,,,904,250
05-077-08854-00,ORCHARD FEDERAL DISPOSAL           ,#3             ,SENW,21,8S,96W,39.337666,-108.116958,6091,UIC DISPOSAL,IJ,PRODUCED WATER        ,1085,65438000,,WMFK  ,WILLIAMS FORK                                     ,3979,4966,82,0.41,5895,5893,5843,,2112,1125
05-081-06712-00,MORGAN                             ,12-Dec,SWNW,12,8N,93W,40.660815,-107.788548,6755,UIC DISPOSAL,PA,PRODUCED WATER        ,2000,,00:00.0,LWIS  ,LEWIS                                             ,,,,,6458,0,3490,,,
05-081-06744-00,Federal 1-35                       ,6744,NWSE,35,9N,91W,40.694429,-107.569869,6607,UIC DISPOSAL,IJ,PRODUCED WATER        ,555,,,LWIS  ,LEWIS                                             ,,,,,4500,0,4457,,,
05-077-05106-00,BUZZARD CREEK                      ,04-Dec,NWNW,12,9S,93W,39.29646,-107.7269,7592,UIC DISPOSAL,IJ,PRODUCED WATER        ,2500,14820000,,COZZ  ,COZZETTE                                          ,8534,8572,128,0.44,8952,,8701,,-942,-980
05-077-08132-00,VEGA UNIT                          ,2,NWSW,34,9S,93W,39.231274,-107.760913,8140,UIC DISPOSAL,IJ,PRODUCED WATER        ,45980000,736,,WSTC  ,WASATCH                                           ,4410,5062,530,0.41,8894,0,8140,,3730,3078
05-077-08155-00,HANCOCK GULCH                      ,1,NWNW,13,8S,99W,39.364576,-108.388351,5790,UIC DISPOSAL,IJ,PRODUCED WATER        ,510,5380000,,RLNS  ,ROLLINS                                           ,3048,3088,99,0.36,8320,,8320,5790,2742,2702
05-083-05150-00,CACHE UNIT (EPA)                   ,11,NWNE,2,34N,20W,37.238709,-109.016243,4946,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,3200,,00:00.0,ISMY  ,ISMAY                                             ,5572,5608,,,5653,,,,-626,-662
05-081-05226-00,TRELEAVEN-GOVERNMENT               ,1,SWSW,32,5N,95W,40.335817,-108.092544,7931,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1745,,00:00.0,MRSN  ,MORRISON                                          ,,,,,6819,6819,6743,,,
05-081-05228-00,TRELEAVEN-GOVERNMENT               ,3,NESW,32,5N,95W,40.33871,-108.0887,7817,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,1900,,00:00.0,MRSN  ,MORRISON                                          ,,,,,0,7127,5950,,,
05-081-05228-00,TRELEAVEN-GOVERNMENT               ,3,NESW,32,5N,95W,40.33871,-108.0887,7817,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,1900,,00:00.0,SNDC  ,SUNDANCE                                          ,,,,,0,7127,5950,,,
05-081-05243-00,TRELEAVEN-GOVERNMENT               ,7,NWNE,31,5N,95W,40.34495,-108.10178,,UIC ENHANCED RECOVERY,SI,PRODUCED WATER        ,200,,00:00.0,SNDC  ,SUNDANCE                                          ,6614,6668,,,11762,11762,2896,,,
